Stelle,Link,Firmenname,Location
Bauarbeiter B/C,https://www.jobscout24.ch/de/job/bauarbeiter/9164100/,Bau-Dienstleistungen Müller Vinz GmbH,Unterengstringen
Betriebsmechaniker (100%-Pensum),https://www.jobscout24.ch/de/job/betriebsmechaniker/8687531/,RickliS Kaffeerösterei | Ernst Rickli AG,Uznach
Automobilfachmann / Automobilmechatroniker (m/w/d) 80-100%,https://www.jobscout24.ch/de/job/automobilfachmann-automobilmechatroniker/9160206/,Garage Rohrbach AG,Wohlen AG 2
Automobil Mechatroniker / Automobilfachmann EFZ,https://www.jobscout24.ch/de/job/automobil-mechatroniker-automobilfachmann-efz/5849691/,Garage Kreisel AG,Mönchaltorf
Forstwart/in EFZ für den Forstbetrieb und den technischen Dienst (80 - 100%),https://www.jobscout24.ch/de/job/forstwart-efz-f%C3%BCr-den-forstbetrieb-und-den-technischen-dienst/9159240/,Cumün da Val Müstair,Müstair
Autolackierer/-in,https://www.jobscout24.ch/de/job/autolackierer/9157668/,automosconi GmbH,Lengnau BE
Servicetechniker/in für Förderanlagen (m/w/d),https://www.jobscout24.ch/de/job/servicetechniker-f%C3%BCr-f%C3%B6rderanlagen/8865719/,Apleona Schweiz AG,Schaffhausen
Elektroinstallateur,https://www.jobscout24.ch/de/job/elektroinstallateur/9157141/,Elektro Lang GmbH,Affoltern am Albis
Automobilmechatroniker/-in oder Automobilfachmann/-frau,https://www.jobscout24.ch/de/job/automobilmechatroniker-oder-automobilfachmann-frau/6880885/,Seegarage Stäfa AG,Stäfa
Service-Mitarbeiter/in,https://www.jobscout24.ch/de/job/service-mitarbeiter/9156192/,Spycher Fondue House GmbH,Luzern
Automobilmechatroniker,https://www.jobscout24.ch/de/job/automobilmechatroniker/9089666/,Seemattgarage Peischler GmbH,Bülach
"Automobil-Mechatroniker /- in mit Koordination Werkstatt, 80-100% (m/w/d)",https://www.jobscout24.ch/de/job/automobil-mechatroniker-mit-koordination-werkstatt/7081835/,Auto Niederhäuser AG,Schmitten FR
Automobil-Assistent oder Reifenpraktiker (m/w) 80-100%,https://www.jobscout24.ch/de/job/automobil-assistent-oder-reifenpraktiker/6654345/,Auto Faes AG,Biel/Bienne
Aussendienstmitarbeiter Autolacke & Zubehör (m/w),https://www.jobscout24.ch/de/job/aussendienstmitarbeiter-autolacke-zubeh%C3%B6r/9152495/,KAMBER Autolacke,Hölstein
Automobil-Mechatroniker / Automobil-Fachmann,https://www.jobscout24.ch/de/job/automobil-mechatroniker-automobil-fachmann/8991581/,Rothacher AG,Oberrieden
Allrounder Montage/ Lager/ Produktion 100%,https://www.jobscout24.ch/de/job/allrounder-montage-lager-produktion/9122489/,SIGNALTEC AG,Schwerzenbach
Netzelektriker*in m/w (100%) per sofort oder nach Vereinbarung,https://www.jobscout24.ch/de/job/netzelektriker-per-sofort-oder-nach-vereinbarung/9150639/,Glattwerk AG,Dübendorf
Schlosser / Anlage- und Apparatebauer (m/w/d),https://www.jobscout24.ch/de/job/schlosser-anlage-und-apparatebauer/9150582/,Hydremag AG,Waldstatt
Autolackierer/in,https://www.jobscout24.ch/de/job/autolackierer/9150418/,Täfern Carrosserie + Spritzwerk GmbH,Dättwil AG
KonstrukteurIn im Projektsupport,https://www.jobscout24.ch/de/job/konstrukteur-projektsupport/9149520/,Anlagenbau-AG,Kirchberg BE
Stahlstrahler im Rohrleitungs- und Apparatebau,https://www.jobscout24.ch/de/job/stahlstrahler-rohrleitungs-und-apparatebau/9144577/,Estrella AG,Ettingen
Verkaufsberaterin / ServicemitarbeiterIn,https://www.jobscout24.ch/de/job/verkaufsberaterin-servicemitarbeiter/9143752/,Huncho Burger GmbH,Zürich
Mitarbeiter in der Fabrikation,https://www.jobscout24.ch/de/job/mitarbeiter-der-fabrikation/8030914/,Hofmann Nutrition AG,Bützberg
Automobil-Diagnostiker /- Mechatroniker/in Techniker Spezialbetrieb 100%,https://www.jobscout24.ch/de/job/automobil-diagnostiker-mechatroniker-techniker-spezialbetrieb/8923886/,Industriegarage AG,Winterthur
Automobil-Mechatroniker/in /Fachfrau/Fachmann / Diagnostiker/in 100%,https://www.jobscout24.ch/de/job/automobil-mechatroniker-fachfrau-fachmann-diagnostiker/9141667/,Auto Marti AG,Niederwangen b. Bern
Automobil Mechatroniker,https://www.jobscout24.ch/de/job/automobil-mechatroniker/9141451/,Auto-Stadelmann AG,Frick
Automobildiagnostiker/-in,https://www.jobscout24.ch/de/job/automobildiagnostiker/9141047/,Brand Automobile AG,Schattdorf
Automobil-Fachmann / -Fachfrau oder Automobilmechatroniker /-in 80-100%,https://www.jobscout24.ch/de/job/automobil-fachmann-fachfrau-oder-automobilmechatroniker/9139840/,Aare Touring Garage AG,Buchs AG
Gestalter/in Werbetechnik / Réalisateur/trice technique publicitaire (80-100%),https://www.jobscout24.ch/de/job/gestalter-werbetechnik-r%C3%A9alisateur-trice-technique-publicitaire/9137218/,Remund Werbetechnik AG,Büchslen
Automobilmechatroniker mit Berufserfahrung,https://www.jobscout24.ch/de/job/automobilmechatroniker-mit-berufserfahrung/1974086/,Auto Suter Küssnacht GmbH,Küssnacht am Rigi
Automobil-Mechatroniker/in / Automobil-Fachmann/-frau,https://www.jobscout24.ch/de/job/automobil-mechatroniker-automobil-fachmann-frau/6393171/,Garage Ullmann AG,Uetendorf
Werkstatt-Leiter,https://www.jobscout24.ch/de/job/werkstatt-leiter/2078981/,Garage R. Blatter AG,Burgdorf
Ab Januar 2025 / Automobilmechatroniker / Diagnostiker (-in),https://www.jobscout24.ch/de/job/januar-2025-automobilmechatroniker-diagnostiker/9049157/,Emil Frey Baden,Oberrohrdorf
Sanitärinstallateur / Heizungsinstallateur (m/w),https://www.jobscout24.ch/de/job/sanit%C3%A4rinstallateur-heizungsinstallateur/8044001/,Spielmann Haustechnik GmbH,Oberbuchsiten
Werkstattchef/in 100%,https://www.jobscout24.ch/de/job/werkstattchef/8796363/,Hammer Nutzfahrzeug Center,Emmenbrücke 1
"Mitarbeiter/in Druck und Plot (m/w/d, 80 – 100%)",https://www.jobscout24.ch/de/job/mitarbeiter-druck-und-plot/9128791/,PlotJet AG,Dübendorf
Automobil-Fachmann 100%,https://www.jobscout24.ch/de/job/automobil-fachmann/9126090/,R. Bühler AG,Neuenegg
Betriebsleiter Produktion (m/w/d) 100%,https://www.jobscout24.ch/de/job/betriebsleiter-produktion/9015876/,aXpel injection AG,Wolfwil / SO
Projektleiter Holzbau 100% (m/w/d),https://www.jobscout24.ch/de/job/projektleiter-holzbau/9125640/,Hürzeler Holzbau AG,Magden
SMD-Operator 100%,https://www.jobscout24.ch/de/job/smd-operator/9125334/,MINEL AG,Buttikon SZ
Elektriker,https://www.jobscout24.ch/de/job/elektriker/9125304/,Michel Verkauf + Service,Zürich
Nutzfahrzeug-Mechaniker,https://www.jobscout24.ch/de/job/nutzfahrzeug-mechaniker/9076149/,Peter Engeloch AG,Riggisberg
Fachkraft für Anlagendekontamination (m/w/d),https://www.jobscout24.ch/de/job/fachkraft-f%C3%BCr-anlagendekontamination/8991662/,Kernkraftwerk Leibstadt AG,Leibstadt
Automobildiagnostiker/-in oder Automobilmechatroniker/-in 80 - 100 %,https://www.jobscout24.ch/de/job/automobildiagnostiker-oder-automobilmechatroniker-100/3128464/,Garage Huber AG,Hombrechtikon
Lüftungsreiniger/in,https://www.jobscout24.ch/de/job/l%C3%BCftungsreiniger/9123245/,tiventa AG,Küttigen
