Stelle,Link,Firmenname,Location
"Anlagewart*in Mehrzweckanlage, 100% (unbefristet)",https://www.jobscout24.ch/de/job/anlagewart-mehrzweckanlage/9168603/,CABB AG,Pratteln
Automobil-Fachmann/-frau / -Mechatroniker/-in EFZ,https://www.jobscout24.ch/de/job/automobil-fachmann-frau-mechatroniker-efz/9168553/,Garage Galliker AG Hochdorf,Hochdorf
Assistent:in Service und Vertrieb (m/w/d) (60%),https://www.jobscout24.ch/de/job/assistent-service-und-vertrieb/9168554/,Hatebur Umformmaschinen AG,Reinach BL
Metallbauer EFZ / Teamleiter Alusystembau (m/w/d) 100%,https://www.jobscout24.ch/de/job/metallbauer-efz-teamleiter-alusystembau/9168302/,Huber Kontech AG,Buttisholz
Materialwart Feuerwehr (m/w/d),https://www.jobscout24.ch/de/job/materialwart-feuerwehr/9167657/,Dottikon Exclusive Synthesis AG,Dottikon
"Maschinenführer Kaschieren/Kunststofftechnologe Folienfertigung (a, 100%)",https://www.jobscout24.ch/de/job/maschinenf%C3%BChrer-kaschieren-kunststofftechnologe-folienfertigung/9167456/,Früh Verpackungstechnik AG,Fehraltorf
Strassenbauerin/Strassenbauer,https://www.jobscout24.ch/de/job/strassenbauerin-strassenbauer/9167326/,Kantonale Verwaltung Basel-Landschaft,Reinach BL
Automobilmechatroniker (m/w) 100%,https://www.jobscout24.ch/de/job/automobilmechatroniker/9165436/,Ruchstuck Garage AG,Brüttisellen
PROJEKTLEITER ELEKTRO-ENGINEERING 60-100% (M/W/D),https://www.jobscout24.ch/de/job/projektleiter-elektro-engineering/9164979/,SCHERLER AG,Luzern
Projektplaner (m/w/d),https://www.jobscout24.ch/de/job/projektplaner/9164562/,Rheinmetall Air Defence AG,Zürich
Automatiker*in für Schienenfahrzeugunterhalt,https://www.jobscout24.ch/de/job/automatiker-f%C3%BCr-schienenfahrzeugunterhalt/9164542/,BVB Basler Verkehrsbetriebe,Basel
Automatiker im Maschinenbau 100% (m/w/d),https://www.jobscout24.ch/de/job/automatiker-maschinenbau/9164538/,Ferag AG,Hinwil
QS-Wareneingangsprüfer (a) 100%,https://www.jobscout24.ch/de/job/wareneingangspr%C3%BCfer/9163019/,RWM Zaugg AG,Solothurn
Mechaniker*in Werkstatt Zollikofen,https://www.jobscout24.ch/de/job/mechaniker-werkstatt-zollikofen/9162533/,Rohrer-Marti AG,Zollikofen
Schreiner im Busbau (m/w/d),https://www.jobscout24.ch/de/job/schreiner-busbau/9162492/,Carrosserie HESS AG,Bellach
Mitarbeiter:in technischer Unterhalt 100 %,https://www.jobscout24.ch/de/job/mitarbeiter-technischer-unterhalt-100/9162419/,Spavetti AG,Kerzers
Senior Maintenance Technician (m/f/d),https://www.jobscout24.ch/de/job/senior-maintenance-technician/9160024/,Johnson & Johnson,Schaffhausen
"Solarteur/in, Installateur/In Photovoltaik 100% (m/w/d)",https://www.jobscout24.ch/de/job/solarteur-installateur-photovoltaik/9159476/,Markus Hediger AG,Bern
Laseroperator (m/w/d) 100%,https://www.jobscout24.ch/de/job/laseroperator/9159151/,VERWO AG,Reichenburg
Techniker-in (m/w) 100%,https://www.jobscout24.ch/de/job/techniker/9159057/,Carglass Suisse SA,Kloten
Schichtmechaniker/in 100% (m/w),https://www.jobscout24.ch/de/job/schichtmechaniker/9159011/,TRISA,Triengen
Fachkraft für Dachbahnenkonfektionierung (Dachausmittlung),https://www.jobscout24.ch/de/job/fachkraft-f%C3%BCr-dachbahnenkonfektionierung/9157307/,SIGA Services AG,Schachen LU
MITARBEITER KONFEKTION | M/W | 100 %,https://www.jobscout24.ch/de/job/mitarbeiter-konfektion-100/9157235/,Daetwyler SwissTec AG,Bleienbach
LEITER WERKSTATT & UNTERHALT (Alter 30-45 Jahre) / CHIEF OF MAINTENANCE & REPAIR (30-45 years of age),https://www.jobscout24.ch/de/job/leiter-werkstatt-unterhalt-chief-maintenance-repair/9157014/,Brautec AG,Liberia / Westafrika
Produktionsplaner*in,https://www.jobscout24.ch/de/job/produktionsplaner/9156955/,HIESTAND Schweiz AG,Dagmersellen
Leiter/in Qualitätsmanagement - Nachhaltigkeit 100%,https://www.jobscout24.ch/de/job/leiter-qualit%C3%A4tsmanagement-nachhaltigkeit/9156539/,Centravo AG,Lyss
Servicetechniker/in HLK Region Bern 80-100%,https://www.jobscout24.ch/de/job/servicetechniker-hlk-region-bern/9156306/,IMI Hydronic Engineering Switzerland AG,Füllinsdorf
Mitarbeiter:in Anlage 40 %,https://www.jobscout24.ch/de/job/mitarbeiter-anlage/9155336/,Rivella AG,Rothrist
Regionalserviceleiter in Springerfunktion (m/w/d),https://www.jobscout24.ch/de/job/regionalserviceleiter-springerfunktion/9090601/,Fritz Studer AG,Steffisburg
Automobil-Mechatroniker:in oder Automobil-Fachmann:frau LKW,https://www.jobscout24.ch/de/job/automobil-mechatroniker-oder-automobil-fachmann-frau-lkw/9155132/,Volvo Group (Schweiz) AG,Dällikon
Servicetechniker Sanitär (m/w/d),https://www.jobscout24.ch/de/job/servicetechniker-sanit%C3%A4r/9153432/,Badertscher + Co AG,Bern
CAD Zeichner:in 80% - 100%,https://www.jobscout24.ch/de/job/cad-zeichner/9152942/,Implenia Schweiz AG,Rümlang
Leiter Prozess Board (m/w/d),https://www.jobscout24.ch/de/job/leiter-prozess-board/9152693/,Weidmann Electrical Technology AG,Rapperswil SG
Servicetechniker Kalibrierstelle (m/w/d),https://www.jobscout24.ch/de/job/servicetechniker-kalibrierstelle/9152409/,walter+bai ag Prüfmaschinen,Löhningen
MONTEUR FAHRZEUGBAU UND SERVICE-VIRTUOSE (M/W/D),https://www.jobscout24.ch/de/job/monteur-fahrzeugbau-und-service-virtuose/9152405/,UT Umwelt- und Transporttechnik AG,Ruggell
Polymechaniker Instandhaltung (w/m),https://www.jobscout24.ch/de/job/polymechaniker-instandhaltung/9053670/,Schurter AG,Luzern
Werkzeugmacher/in Mikro-Spritzgussformen 100%,https://www.jobscout24.ch/de/job/werkzeugmacher-mikro-spritzgussformen/9150566/,SPT Roth AG,Lyss
Reifenpraktiker - Fachmann LKW gesucht ! (m/w/d) - 100% - Starte durch und bewirb Dich jetzt !,https://www.jobscout24.ch/de/job/reifenpraktiker-fachmann-lkw-gesucht-starte-durch-und-bewirb-dich-jetzt/9149356/,Euromaster,Region Basel / Region Graubünden
Schädlingsbekämpfer ( Zimmermann / Dachdecker ),https://www.jobscout24.ch/de/job/sch%C3%A4dlingsbek%C3%A4mpfer/9148992/,Insekta Schädlingstechnik GmbH,Brüttisellen
Landmaschinen -/ Baumaschinenmechaniker,https://www.jobscout24.ch/de/job/landmaschinen-baumaschinenmechaniker/9148989/,Jansky & Partner AG,Gossau ZH
"Servicetechniker/in Kontrollwartung (m-w), 100%",https://www.jobscout24.ch/de/job/servicetechniker-kontrollwartung/9148062/,vonRoll hydro (suisse) ag,"Zürich, Schaffhausen & Thurgau"
Einrichter/Schichtleiter,https://www.jobscout24.ch/de/job/einrichter-schichtleiter/9147755/,Presspart AG,Nidau
Instandhaltungsfachmann:frau / Techniker:in Prüfsysteme (80-100%),https://www.jobscout24.ch/de/job/instandhaltungsfachmann-frau-techniker-pr%C3%BCfsysteme/9147740/,BELIMO Automation AG,Hinwil
Mechaniker Forst & Garten / technischer Support 100% (a),https://www.jobscout24.ch/de/job/mechaniker-forst-garten-technischer-support/9147651/,Husqvarna (Schweiz) AG,Mägenwil
Mitarbeitende/n Elektrounterhaltsdienst (m/w/d),https://www.jobscout24.ch/de/job/mitarbeitende-elektrounterhaltsdienst/9147485/,Kanton St. Gallen,Weesen
Produktionsmitarbeiter Wäscherei / Production Employee Laundry,https://www.jobscout24.ch/de/job/produktionsmitarbeiter-w%C3%A4scherei-production-employee-laundry/9147033/,CWS Workwear Schweiz AG,Kriens
Handwerker (m/w/d),https://www.jobscout24.ch/de/job/handwerker/9146913/,PureGym AG,Bern
Anlagetechniker 100%,https://www.jobscout24.ch/de/job/anlagetechniker/9146904/,Voigt Industrie Service AG,Niederbipp
Monteur Kundendienst 100%,https://www.jobscout24.ch/de/job/monteur-kundendienst/9146430/,ALPHA WasserTechnik AG,Nidau
Mitarbeiter Betriebstechnik (m/w) 80-100%,https://www.jobscout24.ch/de/job/mitarbeiter-betriebstechnik/9145222/,Jansen AG,Oberriet SG
Allrounder Produktion,https://www.jobscout24.ch/de/job/allrounder-produktion/9145220/,Megasol Energie AG,Deitingen
Ingenieur für Radioaktivtransporte und Safeguards,https://www.jobscout24.ch/de/job/ingenieur-f%C3%BCr-radioaktivtransporte-und-safeguards/9144556/,Kernkraftwerk Gösgen-Däniken,Däniken SO
Projektleiter:In,https://www.jobscout24.ch/de/job/projektleiter/9144508/,Parkett Maier AG,Zürich
Head Testing (w/m/d),https://www.jobscout24.ch/de/job/head-testing/9144479/,Eugen Seitz AG,Wetzikon ZH
Servicetechniker International für 2D Lasermaschinen (m/w/d),https://www.jobscout24.ch/de/job/servicetechniker-international-f%C3%BCr-lasermaschinen/9144207/,TRUMPF Schweiz AG,Grüsch
Mechaniker Werkstatt & Technik,https://www.jobscout24.ch/de/job/mechaniker-werkstatt-technik/9144115/,Sommer AG,Grünen
Product Conformity Manager 100%,https://www.jobscout24.ch/de/job/product-conformity-manager/9144104/,Leister AG,Kägiswil
Servicetechniker / in Zutrittssysteme,https://www.jobscout24.ch/de/job/servicetechniker-zutrittssysteme/9143546/,FAND AG,Winterthur
Leiter Qualitätsmanagement (Group) (a),https://www.jobscout24.ch/de/job/leiter-qualit%C3%A4tsmanagement/9143442/,Baumer Electric AG,Frauenfeld
Gärtner-/in / Mitarbeiter-/in Parkunterhalt,https://www.jobscout24.ch/de/job/g%C3%A4rtner-mitarbeiter-parkunterhalt/9143425/,Psychiatrische Dienste Aargau AG,Windisch
Schreiner Werkstatt / Maschinist (Pensum 80-100%),https://www.jobscout24.ch/de/job/schreiner-werkstatt-maschinist/9142604/,Kurt Benz Möbel und Innenausbau AG,Dietlikon
